gene,fc_1,fc_2
PGAM1,2.72824759,1.842501372
ZFYVE27,2.895203425,1.61713504
HPS1,3.264028114,2.557434262
GOT1,0.587036194,2.074848581
R3HCC1L,1.875952262,2.013312565
ENTPD7,1.972139495,5.284338801
COX15,2.061264287,4.359351618
CHUK,1.817047807,5.002616586
ERLIN1,2.46183449,7.675036431
CWF19L1,2.361453158,5.804146115
BLOC1S2,0.908518479,2.219848295
NDUFB8,2.026856959,4.067271196
FAM178A,1.25593644,3.050562502
SFXN3,0.912517273,1.736153364
LZTS2,4.024557682,3.920723515
MRPL43,2.111857775,3.681328013
SCD,0.245091968,1.52673185
DPCD,1.262639943,1.503867358
FBXW4,0.676246383,0.493302814
NPM3,1.400810262,2.529760889
BTRC,2.144633071,2.940573312
HPS6,2.100293915,1.627434187
LDB1,2.212199769,0.698420022
NOLC1,1.893189686,2.597833548
CUEDC2,1.854457006,1.819469114
MGEA5,2.188115974,1.161763656
ACTR1A,2.475401716,1.562651386
TRIM8,4.322287283,3.921253626
GBF1,1.654052762,1.349349212
WBP1L,2.503256797,1.854426606
C10orf32,0.821671468,0.482937132
NT5C2,4.299504433,2.174163699
PDCD11,6.507389746,5.827221201
USMG5,1.956792628,1.657589849
SLK,1.554141535,2.035879532
GSTO1,7.607284994,6.795162157
XPNPEP1,1.822363035,1.390346008
SMNDC1,3.030179915,2.022000561
MXI1,1.73010207,1.665933278
SMC3,1.140975745,2.087430841
ADD3,0.695077991,0.298101025
ZDHHC6,1.540559528,1.079840063
GPAM,10.10458091,4.709611323
SHOC2,1.779081435,1.009525336
VTI1A,2.356720274,1.750906804
PDCD4,1.703875753,0.800363826
BBIP1,2.956404486,2.663636975
DCLRE1A,0.844299612,1.379407018
NHLRC2,1.224507628,1.749582387
C10orf118,0.608620398,0.327521724
CASP7,2.689794011,2.214442649
FAM160B1,1.529377714,0.77724043
TRUB1,1.378165301,1.067038193
KIAA1598,0.637396953,0.293749113
PDZD8,3.233643855,2.059723698
FAM204A,3.677567163,3.077354815
ABLIM1,0.025808852,0.032716187
CACUL1,2.593781475,2.599681095
SFXN4,1.945123169,1.014327425
FAM45B,1.662921607,0.990943925
RGS10,7.10778969,1.656799804
BAG3,4.901303571,1.740199765
PRDX3,1.040108878,0.890699811
EIF3A,3.32690063,3.04074227
TIAL1,1.583880742,1.577804079
MCMBP,1.793381198,2.673723951
SEC23IP,3.009271791,1.925905546
ATE1,1.6905929,1.731808798
NSMCE4A,1.204804322,1.486355357
WDR11,2.312383302,1.708870746
ACADSB,0.852366106,0.289196704
PLEKHA1,1.965853355,1.827411199
BUB3,1.93296382,2.766780153
METTL10,3.314738135,1.776611186
FAM53B,2.009802547,1.413566068
FAM175B,2.45120663,3.960391938
ZRANB1,4.854276786,5.429007753
OAT,2.367225784,19.54138544
C10orf137,2.43511471,1.441831192
UROS,1.890458011,1.689685643
CTBP2,4.436240566,1.642719059
BCCIP,2.586953463,2.473858825
DHX32,2.547378846,2.032159483
MGMT,71.37155305,0.691418914
PPP2R2D,3.821308068,1.932373655
DOCK1,1.041354752,1.884041159
BNIP3,11.89361737,3.366182692
GLRX3,5.079408283,5.734229271
INPP5A,4.546019072,0.491111647
FUOM,0.740322909,1.060165458
MTG1,1.319271374,1.012688349
ECHS1,0.680102785,0.67216836
TUBGCP2,1.87593544,1.676559184
ZNF511,1.160856879,0.806678213
BET1L,2.407208422,1.648255754
RIC8A,2.572581115,2.284509766
IFITM2,2.929325523,3.08627434
IFITM3,15.67201525,3.035439264
B4GALNT4,0.910091879,0.128698466
SIGIRR,0.074307755,0.064906102
PSMD13,2.845613203,2.419826795
PTDSS2,3.523296079,2.716090187
PKP3,0.066353626,0.068585747
HRAS,1.107057258,1.422802784
RASSF7,0.629073411,0.940984559
DEAF1,4.551283709,1.133227287
TMEM80,1.08872957,0.768490412
EPS8L2,0.15887753,0.161417925
PDDC1,1.757359024,1.087330414
TALDO1,2.537674869,1.97652518
RNH1,5.423988248,8.252449825
POLR2L,2.187010664,1.253809282
RPLP2,2.083770534,2.257794018
AP2A2,1.571375362,0.616999007
TOLLIP,2.889179592,0.843455639
CHID1,3.147094513,1.773438387
CD151,2.313600298,3.045906359
MRPL23,1.144856854,1.447318725
TSSC4,3.878916447,3.07481853
CD81,1.741241904,1.546025922
PHLDA2,1.151586849,4.806005209
NAP1L4,1.344418245,1.454518225
OSBPL5,1.032257651,0.459926892
MOB2,2.823600847,3.279583682
CTSD,5.169433463,3.406925917
ZNF195,1.202692766,0.645574344
RHOG,3.224561274,3.803366179
CARS,3.666398246,9.704407854
TRIM21,5.551961486,1.213654795
STIM1,5.420101821,2.260505506
RRM1,0.561063953,1.046790211
TRIM68,1.046213059,0.296266245
TRIM5,2.202018196,0.97683243
SMPD1,2.92896029,0.981218493
NUP98,1.557658765,1.75735761
PGAP2,1.229875108,0.984834856
RRP8,3.133586423,2.731205594
ARFIP2,1.829924424,2.687024681
TIMM10B,1.811762753,2.314178502
TPP1,5.055071294,3.129948859
MRPL17,1.446136993,1.554699037
ILK,2.415819743,2.069447248
TAF10,3.960650228,1.82019466
CYB5R2,7.843081798,4.849902688
EIF3F,3.123368385,2.173637703
TMEM9B,1.608470786,1.640872917
DENND5A,3.698829319,3.913636025
AKIP1,3.97577853,3.199304126
TMEM41B,0.829115892,1.26202819
RPL27A,1.391747762,1.822166213
ZNF143,2.766823361,1.695346442
WEE1,0.814323505,2.159549815
SWAP70,5.2482375,7.840455094
IPO7,2.658507958,4.159270996
SBF2,3.205216089,1.470538049
RNF141,1.969056876,1.141617672
CTR9,1.571539354,1.137485613
LOC729013,4.641897173,0.938401664
ZBED5,1.056123452,0.981997708
USP47,1.435475059,1.426121603
MICAL2,25.9660825,11.26126888
PARVA,2.836625968,4.77694541
TEAD1,4.477168635,3.909693144
ARNTL,15.294185,8.467031955
BTBD10,1.563860431,1.578357748
FAR1,1.359232207,1.12899532
RRAS2,4.043965096,4.345127224
CYP2R1,0.806614344,0.440223401
EIF4G2,1.348258438,0.922528107
PSMA1,1.663446996,1.591312852
C11orf58,1.74132704,2.001875332
COPB1,1.84955669,1.847904658
NUCB2,1.272509452,0.743828726
SERGEF,1.230340394,0.790705045
PIK3C2A,1.489812688,1.119326775
RPS13,2.163056197,2.150421344
HPS5,3.801974217,2.933847268
GTF2H1,3.044034803,3.06955746
TSG101,2.596153698,1.771815646
SPTY2D1,1.902950751,1.58093513
UEVLD,2.357005332,1.616891541
ZDHHC13,0.898128455,0.844460599
SVIP,0.276752595,0.058265017
FANCF,0.664777587,0.769795644
PRMT3,2.749826736,2.488627076
CCDC34,1.011973148,1.10991058
HTATIP2,12.74345527,33.1453031
LIN7C,2.289660679,1.770589402
ARL14EP,3.705673346,4.81575566
METTL15,1.218142278,1.944503816
DNAJC24,2.950530998,3.666337852
ELP4,1.243739922,1.488650232
RCN1,5.697350798,5.739810865
PRRG4,0.306996411,0.254297794
EIF3M,2.827595717,2.80754818
QSER1,2.389216987,2.116108702
TCP11L1,1.019788175,2.239527714
CSTF3,1.603045086,1.683730531
LDHA,3.570092228,4.963316165
HIPK3,1.051684764,1.720358275
FBXO3,0.768404198,0.68096611
NAT10,1.795052908,1.645167398
CAT,0.52995207,0.333859511
CAPRIN1,1.899913405,1.06334392
APIP,1.612885124,3.362142024
PDHX,1.446103311,1.326391977
CD59,5.202808035,2.901499022
EHF,0.007908788,0.004663381
TRIM44,4.343002258,3.446763365
COMMD9,1.954145504,1.574904349
C11orf74,4.931416812,2.897433253
TTC17,1.949368033,3.408392779
ALKBH3,3.937877553,2.441627298
HSD17B12,1.931665536,2.903393459
API5,1.267995006,2.032412017
SLC35C1,7.299532707,2.40351782
PEX16,2.711616911,1.884055131
EXT2,2.877588224,3.414617826
DGKZ,0.720476515,1.720185932
MDK,0.197416212,1.354046075
AMBRA1,1.72706706,1.715861071
ARHGAP1,1.133614152,1.305935083
ATG13,1.616616429,1.627131012
DDB2,0.512830663,0.499685116
PACSIN3,2.032070644,1.768685902
ACP2,1.017232698,0.583699987
CKAP5,1.179571158,1.579085678
SLC39A13,13.32078452,5.429791299
C11orf49,1.355173871,1.167490976
ARFGAP2,1.266533335,1.191378636
PSMC3,1.429124413,1.876320729
MTCH2,1.299721815,1.035243237
FNBP4,3.027851014,2.183652034
PTPMT1,1.676592692,1.341600559
NDUFS3,1.127144745,1.145488851
KBTBD4,1.51280633,1.157800033
NUP160,1.592017106,2.840322859
CELF1,1.707047952,1.500902193
TIMM10,1.358494021,1.714363498
SSRP1,1.990124743,3.806825825
CLP1,3.720710943,3.591707229
TNKS1BP1,1.648798808,1.230292749
ZDHHC5,1.576023202,1.504176707
LPXN,16.42004042,17.29705208
FAM111A,2.64639535,0.17952049
PATL1,3.392414661,4.804574495
OSBP,1.018897844,0.828926915
ZFP91,1.755050013,2.946565241
MRPL16,1.401660324,1.192431093
STX3,1.266395928,1.032753446
CCDC86,3.633650338,3.258563077
TMEM109,1.553231162,0.962995043
PRPF19,1.887869282,1.207943382
VPS37C,2.41840795,1.240459387
TMEM132A,10.50151895,1.953612948
SDHAF2,3.241272605,2.292055678
CPSF7,1.960216662,1.538548184
FEN1,0.666008355,1.641109544
TMEM258,1.771111632,2.35407912
FADS1,1.233587406,5.669727374
FADS2,0.90161832,0.288143864
FADS3,14.90994527,16.13937113
DDB1,1.43560796,2.661818937
CYBASC3,1.863578917,1.039414916
DAK,0.830551428,0.369651229
TMEM138,3.37592282,1.661207696
FTH1,23.75311838,13.8677909
TUT1,2.284316307,1.661715086
B3GAT3,3.404841033,3.329233638
MTA2,1.768235248,1.276726722
INTS5,1.810624676,1.629750745
C11orf48,2.15512585,1.857453965
C11orf83,1.421961665,1.678723804
UBXN1,2.950061292,3.23369239
TTC9C,3.907734835,2.336875834
POLR2G,1.266412454,2.488855145
GANAB,2.664519503,2.676907683
TMEM179B,1.717240631,0.880903879
TMEM223,1.843041926,1.996836258
NXF1,1.097440818,0.788180306
WDR74,1.526702192,3.094248116
BSCL2,0.942682005,0.335903602
STX5,1.86784788,1.452832302
EEF1G,1.847040803,1.650883334
AHNAK,2.070985117,5.70881671
TMX2,1.374498384,1.225784519
CTNND1,0.417288936,0.47328682
C11orf31,2.225308698,1.540005868
SNHG1,1.381725775,3.157289626
ATL3,1.329022662,2.15803962
COX8A,1.010007185,1.328667983
MACROD1,1.306305696,0.618659173
MARK2,1.123848675,0.81564
OTUB1,2.071846048,1.528617136
DNAJC4,1.349377395,0.638228484
STIP1,1.821156502,1.307330699
TRPT1,0.720888313,0.81467493
FKBP2,1.630494805,1.771154471
RTN3,1.124297009,1.012022893
NUDT22,2.864789414,2.030685929
PPP1R14B,1.75694645,2.477385235
PLCB3,0.54162295,1.369476345
BAD,1.398915381,1.383556644
GPR137,0.918428952,0.648743175
ESRRA,1.067821667,2.031499057
TRMT112,2.121505336,2.611032778
RPS6KA4,2.294263554,2.003945446
EHD1,3.519517516,3.217406671
PPP2R5B,3.215169246,1.862660339
SF1,1.810493483,1.194299792
PRDX5,2.11315907,1.676093465
ZFPL1,2.785855454,2.839832854
TM7SF2,0.099440626,0.032789222
ZNHIT2,2.054430319,1.566991691
ARL2,2.263498222,3.396220083
SLC3A2,2.726539071,7.848595299
VPS51,1.272017456,0.989653955
DPF2,1.899991931,1.924654256
FRMD8,1.542698497,1.327146703
FAU,1.947029744,2.173702118
MRPL49,1.107612629,0.933528356
NEAT1,6.689764869,1.112312854
CAPN1,1.962270442,0.86305295
SSSCA1,2.294887177,1.83770427
FAM89B,1.190131484,0.997780931
MAP3K11,2.259085526,1.363697328
EHBP1L1,4.099409302,4.378817507
SCYL1,2.291895841,1.611255808
RELA,3.138938864,2.180145575
KAT5,1.25723984,1.414959068
RNASEH2C,1.744945872,1.121278886
MUS81,1.984348505,3.10018344
C11orf68,10.6392375,5.058155511
FIBP,0.860141879,0.820752143
DRAP1,4.768028276,7.22801015
CFL1,2.48735104,2.199825662
SF3B2,3.91364789,3.137155373
EIF1AD,2.659157289,3.041909522
BANF1,1.580630196,1.619023394
KLC2,1.136073746,2.560968904
RAB1B,1.252005382,0.809981069
YIF1A,2.225210833,2.716126734
B3GNT1,2.584784954,2.128127373
SLC29A2,0.475692572,0.485667114
BRMS1,2.445955476,3.047030465
MRPL11,1.573096425,2.810634075
ZDHHC24,1.028321467,0.596571632
CTSF,0.366284251,0.22156815
CCS,1.320266566,0.54075298
DPP3,3.257045559,1.512920079
SPTBN2,3.874318084,0.454795942
C11orf80,0.871013579,0.33795503
RCE1,1.686433876,2.565329469
RHOD,1.293446559,0.415488559
RBM4,1.375222662,0.944788373
RBM4B,0.871345795,0.835030656
ADRBK1,0.946447162,0.869673918
ANKRD13D,1.827289767,1.213381738
SSH3,0.406388853,0.566393025
KDM2A,1.76534989,0.929156262
RPS6KB2,1.674352713,1.114218326
AIP,1.811496205,1.446703741
POLD4,1.277330074,1.317995027
TMEM134,0.430577525,0.207902655
CORO1B,0.499410156,0.844317944
CDK2AP2,0.583244122,0.730389372
PPP1CA,0.64159779,1.1192075
PITPNM1,1.18572666,1.161309064
NUDT8,0.454412829,0.054050522
UNC93B1,0.768896587,0.716479225
ALDH3B2,1.540353481,0.101291696
NDUFV1,1.147276678,1.1862906
NDUFS8,1.627724096,1.781187506
TCIRG1,3.305898341,1.89615976
C11orf24,2.526431146,2.405870474
SUV420H1,1.525088681,2.128450779
CPT1A,0.365056891,0.386892073
MRPL21,1.843802755,1.474739803
FADD,2.506149473,1.628580016
CCND1,0.146387763,1.420831062
PPFIA1,2.594197919,1.881270942
MALAT1,0.977025604,0.60366773
PPP6R3,2.455520591,1.437527688
DHCR7,0.323300606,0.877767814
NADSYN1,1.290058822,0.738185306
RNF121,2.356540347,1.387938686
CTTN,2.26867486,2.723011645
INPPL1,3.631688886,3.223775889
CLPB,0.914896359,1.338172509
STARD10,0.287907781,1.043462408
ARAP1,2.352745277,0.877297906
NUMA1,0.775970168,0.486587008
ANAPC15,1.227958915,1.164707107
LAMTOR1,3.504351603,1.357511167
MRPL48,1.329852913,2.658672263
COA4,2.830818577,2.156114977
PAAF1,2.261539678,1.837192647
PPME1,1.746158964,0.861119248
SPCS2,0.893846522,1.071134478
RNF169,1.661005648,1.689148736
RAB6A,1.81195642,1.370051705
DGAT2,3.703990974,0.757162709
PRKRIR,2.769171853,3.724854097
ACER3,1.185359559,0.647125434
TSKU,0.795166866,2.881200585
CLNS1A,2.289722061,2.627749913
AAMDC,2.639641914,0.649086755
RSF1,2.194146459,0.998927734
NARS2,1.600971679,1.715484679
LOC100506233,2.415401593,1.870039514
PRCP,4.117556595,2.210438213
NDUFC2,1.059536343,0.830436175
ALG8,1.744925164,1.74456929
PCF11,0.872544329,0.792947322
CCDC90B,1.588824269,1.910873277
TMEM126A,2.972039663,2.058034538
TMEM126B,2.518178486,2.28948716
CREBZF,1.292146693,0.888885854
SYTL2,0.089093644,0.1644266
RPS3,3.260587228,3.733005985
C11orf73,3.283486581,2.841841047
PICALM,2.764405912,2.789250626
C11orf75,0.341019437,0.264558963
CHORDC1,1.971173386,0.901054208
KIAA1731,0.882546103,0.7981367
SCARNA9,1.571991971,1.353729114
C11orf54,0.678904073,0.671016699
TAF1D,3.017960538,3.47769318
MED17,1.352314505,1.00668268
PANX1,6.400772905,4.271282484
ANKRD49,1.590236951,1.857602895
CWC15,2.531527919,0.878234416
SRSF8,1.071042934,0.333370129
ENDOD1,1.812815276,0.161788159
FAM76B,0.868348892,1.33096428
SESN3,0.07478603,0.005894249
CEP57,2.857486651,3.653847721
MTMR2,3.31029709,2.7957051
BIRC2,2.046583536,3.210182218
TMEM123,4.966638733,3.383276219
YAP1,2.87357729,2.452680856
CASP4,337.1824924,9.331088114
MSANTD4,4.135898923,3.050175597
DYNC2H1,0.959124215,2.091050095
CWF19L2,1.401129697,1.497565954
AASDHPPT,1.396651508,2.087719661
SLC35F2,3.784739156,3.286777802
ACAT1,0.965163056,0.508153567
NPAT,1.603776961,1.425040236
CUL5,1.143935465,1.045345388
EXPH5,1.072270205,0.669087192
DDX10,3.11183077,2.795809671
ATM,1.804733833,1.670490135
FDX1,1.798966601,0.815444515
C11orf1,5.618829894,1.562896213
RDX,1.998394851,1.563371627
DLAT,1.042185846,1.992818243
PPP2R1B,1.685204111,1.219682486
SDHD,1.449179216,2.040899982
PTS,1.14138464,1.052388568
C11orf57,2.308234425,3.024698323
TIMM8B,1.238423359,0.628595158
TTC12,0.977486864,0.453685433
ZW10,1.70855631,2.069337051
C11orf71,1.376821585,0.469879886
RBM7,2.859430724,2.203830584
REXO2,4.983745349,2.913301766
ZNF259,3.231284625,6.441010634
PCSK7,1.970473064,1.638318237
PAFAH1B2,4.238840511,2.668074115
MPZL3,1.14E-07,9.46E-08
MPZL2,1.29E-07,9.11E-08
TMEM25,0.33699106,0.294411164
IFT46,1.737878563,1.36687255
UBE4A,2.497990541,1.48741421
ATP5L,1.315163892,1.63580303
ARCN1,2.314146102,1.748832215
DDX6,1.397492723,0.539352247
TRAPPC4,2.474068406,1.945108589
SLC37A4,0.761622594,0.585506858
H2AFX,0.223120847,0.561712232
VPS11,2.034250471,2.170142635
DPAGT1,1.493810348,3.15612834
HMBS,2.180786722,2.043616252
CCDC84,1.691899596,1.340442319
RPS25,1.879159214,1.742420197
HYOU1,2.129575918,3.159768606
PVRL1,0.826445965,1.637892344
SC5DL,0.707893692,0.861349742
ARHGEF12,1.763538807,1.479041347
TBRG1,1.52713295,1.242848289
SPA17,0.730122087,1.694918811
SIAE,3.955159463,0.935892034
EI24,1.526536575,1.281003302
RPUSD4,1.758128914,1.758343682
PUS3,1.51817963,1.091043619
FOXRED1,0.258151935,0.734321835
HSPA8,1.204517967,0.423145058
STT3A,1.265462801,1.712899554
DCPS,0.635543324,0.879656672
ST3GAL4,15.18502404,7.217988143
FAM118B,2.516849105,2.014409919
SRPR,2.329550429,4.377252295
TMEM45B,0.029719577,0.033190043
NFRKB,1.714534361,0.760939497
ARHGAP32,6.440142255,0.88169644
ZBTB44,1.626679694,1.475527669
ST14,6.72E-08,3.77E-08
SNX19,2.733557729,1.392055066
NCAPD3,0.383086028,1.007890104
VPS26B,0.875607068,0.593304898
ACAD8,0.720153218,0.817313098
THYN1,2.251856218,1.642451701
KDM5A,1.300062902,1.694117474
ADIPOR2,2.085627275,2.070111033
WNK1,2.061919106,1.665045701
FKBP4,1.024339937,0.782787845
TULP3,1.728580076,3.581374716
RHNO1,0.490761924,1.001689563
C12orf4,0.824248995,0.972590149
NDUFA9,0.859276349,1.394757402
APLP2,1.073500024,1.21505416
TNFRSF1A,3.127416137,3.764312616
CD9,0.541662151,0.345558424
MRPL51,1.095248138,1.496242027
NCAPD2,0.610017107,1.955100696
SCNN1A,0.619309933,0.219441003
LTBR,2.85871275,3.637412593
NOP2,1.99116796,3.189124739
ING4,1.355782335,0.970163128
CHD4,2.536555366,1.642588724
COPS7A,3.302211971,2.381474678
PTMS,0.448139716,0.888343803
MLF2,0.870635322,0.999162668
USP5,0.527489369,0.698333867
C12orf57,0.386957276,0.900895729
PTPN6,0.164475634,0.104549046
EMG1,3.413941598,5.03294893
LPCAT3,0.892162909,0.245321239
PHB2,0.888349754,1.688872637
CLSTN3,4.348408226,0.52612806
C1RL,293.9073068,1.276298269
PEX5,1.090926937,1.107983619
NECAP1,0.960351409,1.071131496
TPI1,1.171743562,1.831435465
LOC374443,6.092813587,3.178314988
GABARAPL1,6.338277645,2.587227029
M6PR,3.484460174,5.066924289
GAPDH,2.146071074,3.087944328
CSDA,2.168523131,3.988228245
LRP6,1.480470611,1.355815392
DUSP16,0.564724154,0.54317835
CREBL2,0.715070581,0.860385463
CDKN1B,0.144809839,0.722814622
RPL13AP20,2.39879811,1.929062959
DDX47,2.191645278,3.275840855
KIAA1467,1.061834132,0.895825787
ATF7IP,1.788826918,1.604368435
HIST4H4,2.75809678,7.106690963
WBP11,1.059239638,1.74074744
DERA,1.289681365,2.486543973
STRAP,1.923138406,2.645512177
MGST1,1.372969611,1.329298696
PLEKHA5,0.979452094,1.652803227
GOLT1B,2.771657711,6.580287818
PYROXD1,0.43637206,2.50938103
RECQL,2.231072111,3.977925004
CMAS,1.225311625,1.467135507
C2CD5,0.262444746,0.70024279
ETNK1,0.595338825,1.035129989
LDHB,0.922424552,4.733424646
LYRM5,0.874016619,0.963407279
KRAS,0.702602697,1.041073198
ASUN,2.164320419,2.881500932
FGFR1OP2,2.356281576,5.1628333
STK38L,1.632355248,1.851700971
MED21,1.456942178,1.527589294
TM7SF3,1.026821502,1.447277679
KLHL42,0.501581146,0.669590825
PPFIBP1,1.511350146,2.643698412
MRPS35,0.716213168,1.778200041
CCDC91,0.701206305,0.937390073
ERGIC2,1.269610246,2.895897348
IPO8,1.322504389,0.783192358
CAPRIN2,5.670952167,1.489508391
AMN1,4.986832214,4.234616613
KIAA1551,1.243955591,1.669923133
FAM60A,0.819764556,2.229124918
FGD4,0.974468358,2.183544346
YARS2,1.186121278,2.17789294
PKP2,3.008537399,6.738016866
DNM1L,0.628548232,1.914819655
ZCRB1,1.547910079,2.391949821
KIF21A,0.283536777,0.672078441
PUS7L,0.955621769,1.312592322
PPHLN1,1.180148463,1.736750518
LOC400027,0.576706413,0.665696279
ARID2,0.404582228,0.503726571
TWF1,0.975790985,1.581434065
SCAF11,1.092450298,1.371852029
ANO6,2.436589962,7.647493775
SLC38A1,2.301201221,7.083480792
RPAP3,0.88836389,1.337401794
ASB8,0.826643055,1.071149931
TMEM106C,0.63180103,1.535476172
CCNT1,1.227240739,1.561247086
KANSL2,0.714899209,1.010411042
PFKM,0.829997604,0.928439938
SLC38A2,1.894245862,10.06514209
FKBP11,6.41372829,1.760374008
DDX23,1.558195114,1.405815336
CACNB3,0.604768869,0.682001235
ADCY6,0.478242302,0.980999917
ARF3,0.964642733,0.802234167
LMBR1L,2.42104212,0.977764216
PRKAG1,2.339227964,2.196823326
TUBA1A,0.715225482,1.302732076
TUBA1B,0.849499789,1.791176751
SPATS2,3.619585968,1.461651476
MCRS1,2.006891844,2.042542751
TUBA1C,1.765764746,2.666408606
RACGAP1,0.265651892,1.121674247
CERS5,1.814848629,2.259482388
SMARCD1,1.121550045,1.738774213
COX14,1.005096823,1.390042645
ATF1,1.340506966,2.276596883
DIP2B,1.144011931,1.263938331
LARP4,0.888161418,1.791733045
LETMD1,1.099746134,2.440089771
CSRNP2,0.564400142,1.628629645
SLC11A2,0.995796392,1.738126266
C12orf44,1.727441563,4.963050698
LIMA1,8.332380881,7.948556232
TMBIM6,0.969678087,1.814570285
DAZAP2,0.621792395,1.894555584
KRT6C,787.4617252,0.023032659
KRT8,0.697739283,1.295730375
KRT18,0.378017744,0.877978614
SPRYD3,2.348689221,2.915552571
CSAD,0.981683855,0.382326166
ZNF740,1.033271582,1.629787966
MFSD5,1.44158425,2.044539234
C12orf10,3.255293816,1.978606886
AAAS,1.590233822,1.367643932
PFDN5,1.36601461,1.742682096
PRR13,1.607645496,3.625277942
EIF4B,1.489522191,2.154632682
TARBP2,1.809606965,1.671639486
ATF7,0.585340373,0.898383902
SP1,1.000076085,2.341372871
ATP5G2,0.946720007,1.28353157
CALCOCO1,2.382483292,2.326119473
SMUG1,2.386591183,1.881504981
CBX5,0.939410885,1.29103248
COPZ1,1.538332366,1.936130962
HNRNPA1,0.696285533,0.841675466
PCBP2,1.236866192,1.340726351
ITGA5,59.11271542,71.70154444
BLOC1S1,0.468158175,0.85495137
WIBG,0.339872833,0.37385241
SARNP,0.804861487,2.106590645
ORMDL2,1.182084687,1.331457448
DNAJC14,1.710912295,2.008721494
CDK2,0.26479294,1.115876833
SUOX,0.119556323,0.277107975
DGKA,0.917631956,4.125055938
RAB5B,0.646875506,0.770002814
ERBB3,0.018457936,0.018631986
RPS26,2.349272696,2.138227459
PA2G4,1.291533073,2.453116544
CD63,1.270194835,3.404946291
MYL6B,2.244861693,2.657390078
ESYT1,0.608831182,1.814531097
NABP2,1.174525301,2.698903812
SMARCC2,1.356799023,1.422032358
CS,0.709930647,1.117654948
MYL6,1.409055875,1.069661572
RNF41,1.256609254,1.429924317
TIMELESS,0.321425928,0.720924004
SPRYD4,0.545164494,0.358219362
CNPY2,0.9302133,1.021043358
PAN2,1.368416128,1.767393644
BAZ2A,0.67164368,1.633011516
STAT2,3.417686192,1.282152583
RPL41,0.770671093,0.949567218
PTGES3,1.374398762,1.442880362
ATP5B,0.525590382,0.841083768
PRIM1,0.876727752,3.850928225
R3HDM2,2.169407822,1.502246919
NACA,1.791900885,1.561146849
DCTN2,1.553039962,1.978506579
SHMT2,0.673605557,2.608160399
MARS,3.357638845,6.44414258
DDIT3,1.03365843,9.063118741
PIP4K2C,0.929520632,1.533243797
TSPAN31,2.31705507,2.21175648
CDK4,1.000955281,1.965051982
LOC100506844,14.25824624,5.552626536
TSFM,0.852140499,1.762091539
CTDSP2,1.583696402,3.116306091
TMEM5,1.166531326,1.534621077
USP15,1.363489206,1.521218498
MON2,0.571631729,0.779619651
OS9,1.755522039,2.205472757
TBK1,1.796031322,2.113235556
RASSF3,2.224323135,0.420056159
GNS,3.312859077,2.578019332
LEMD3,0.738260634,1.128571523
XPOT,2.013403148,4.102361563
LLPH,3.362562886,4.393981982
TMBIM4,0.424927636,0.474197988
CAND1,0.897159732,1.00299872
NUP107,1.067941325,2.358785814
RAP1B,2.464528914,3.731971754
YEATS4,0.727932844,1.278175584
CPSF6,0.899325157,1.220231052
FRS2,0.688210635,0.678089933
MDM2,0.658660531,0.541019572
CCT2,1.529430702,1.611394366
CNOT2,0.757342309,1.002644693
TMEM19,0.542496547,0.83791054
RAB21,1.044386031,1.532194815
ZFC3H1,1.405820182,2.081278779
ATXN7L3B,0.639565211,0.780445242
KRR1,1.389443233,1.818750556
BBS10,1.112663143,1.272185737
ZDHHC17,0.95604965,1.143307263
NAP1L1,1.603874267,2.698600547
OSBPL8,1.136371527,2.243335998
PAWR,1.202354313,2.684769307
CCDC59,1.154946205,1.098547675
METTL25,0.273615458,0.069734742
PPP1R12A,1.864278948,1.068452943
C12orf29,1.631207104,2.640981462
TMTC3,1.161613311,0.933279838
POC1B,1.095530276,2.19096798
ATP2B1,10.69154349,8.643044078
BTG1,1.113621529,2.075368563
EEA1,2.122989241,3.188779151
UBE2N,1.165540612,1.189740955
CRADD,2.314747999,2.345860744
NUDT4,1.192535991,2.278386168
NUDT4P1,0.921659228,1.698358847
SOCS2,17.97103653,2.933558829
NDUFA12,2.258756358,2.939531976
MRPL42,1.13044667,1.961416245
NR2C1,1.064493584,1.708113516
METAP2,1.730023067,1.751251037
VEZT,0.661268781,0.810711092
SNRPF,0.852437721,1.708304495
LTA4H,3.162956751,2.290397232
CDK17,1.030001124,2.253467799
NEDD1,0.622654559,1.685373777
TMPO,0.36570134,2.090728639
IKBIP,5.876288455,8.683503425
UHRF1BP1L,0.658972303,1.087924405
ACTR6,0.941501067,1.2557377
SCYL2,0.716836115,1.589336855
CHPT1,0.325613663,0.623692076
GNPTAB,0.447923281,0.426825259
ARL1,0.539636027,0.66130534
SLC25A3,0.974186921,1.478026955
CCDC53,2.702251057,1.524287319
NUP37,1.772582852,3.582430045
TDG,0.610169905,0.927901791
NFYB,1.132484289,2.002353105
C12orf45,1.514386649,1.69078996
HSP90B1,1.017655701,1.993732406
C12orf75,3.171885517,6.471439522
TXNRD1,9.060936295,11.06584579
APPL2,0.995521781,0.5268422
KIAA1033,2.643922251,3.335855273
TCP11L2,5.622847589,6.387233491
CKAP4,9.450950671,6.604742505
MTERFD3,0.944449476,0.621248681
PWP1,1.845143789,2.690295329
C12orf23,4.683002314,2.23972748
PRDM4,2.585627907,2.146162449
SART3,1.022236228,1.658222399
ISCU,1.785752366,2.489919025
ALKBH2,1.890741423,1.958653576
