gene,hits
ARL8A,0
UBE2T,2
RP11-175B9.3,0
KDM5B,15
RP11-480I12.2,0
RP11-480I12.5,0
RABIF,0
KLHL12,0
ADIPOR1,13
CYB5R1,0
FMOD,2
ETNK2,1
GOLT1A,0
PLEKHA6,0
RP11-203F10.6,0
PPP1R15B,0
PIK3C2B,4
TMEM81,0
RBBP5,2
DSTYK,0
NUAK2,0
ELK4,16
SLC45A3,37
NUCKS1,0
RAB29,0
SLC41A1,1
FAM72A,0
EIF2D,0
RP11-343H5.6,0
RP11-343H5.4,0
FCAMR,0
C1orf116,2
YOD1,0
C1orf132,0
PLXNA2,2
C1orf74,0
IRF6,0
ST13P19,0
SLC30A1,4
NEK2,7
LPGAT1,0
INTS7,1
RPL21P28,0
TMEM206,0
RP11-61J19.5,0
NSL1,1
FLVCR1-AS1,0
ANGEL2,0
PTPN14,1
GPATCH2,0
SLC30A10,1
EPRS,2
BPNT1,0
RPS15AP12,0
RAB3GAP2,0
AURKAPS1,0
DUSP10,6
TAF1A,0
RP11-378J18.8,0
AIDA,15
SUSD4,0
TP53BP2,5
RP11-504P24.8,0
GTF2IP20,0
RP11-504P24.5,0
RP11-365O16.1,0
NVL,3
WDR26,0
LBR,2
ENAH,0
TMEM63A,0
PYCR2,0
SDE2,0
RP11-396C23.4,0
ACBD3,0
LIN9,0
PARP1,92
CDKN2AIPNLP1,0
ITPKB,0
CDC42BPA,1
CTD-2090I13.2,0
JMJD4,0
C1orf35,0
MRPL55,0
C1orf145,0
TRIM11,1
HIST3H2A,0
RP5-1061H20.4,0
CCSAP,0
NUP133,0
ABCB10,1
TAF5L,0
C1orf198,0
TTC13,0
FAM89A,0
C1orf131,0
EXOC8,1
EGLN1,4
RP11-295G20.2,0
SIPA1L2,0
PCNXL2,0
RP11-301G21.1,0
RP5-827C21.1,0
RP5-827C21.4,0
TARBP1,0
IRF2BP2,2
RP11-443B7.1,0
TOMM20,1
RBM34,0
ARID4B,2
B3GALNT2,0
GNG4,0
LYST,0
ERO1LB,0
LGALS8-AS1,0
RP11-385F5.5,0
HEATR1,0
FH,61
OPN3,0
CHML,0
LINC01347,0
CEP170,0
AKT3,24
ADSS,0
HNRNPU-AS1,0
HNRNPU,0
SMYD3,10
TFB2M,0
AHCTF1,0
ZNF695,0
ZNF670,0
ZNF669,0
ZNF124,0
RP11-488L18.10,0
RP11-488L18.4,0
ZNF496,0
AHCYP8,0
SH3BP5L,0
ZNF692,0
ACP1,3
TRAPPC12,0
RNASEH1-AS1,0
RPS7,4
RNF144A,0
ID2,17
RP11-734K21.2,0
ASAP2,1
CPSF3,1
IAH1,0
RP11-214N9.1,0
TAF1B,0
GRHL1,2
KLF11,1
RP11-254F7.4,0
RRM2,11
HPCAL1,1
RP11-320M2.1,0
AC007249.3,0
RN7SL832P,0
ATP6V1C2,0
PQLC3,0
GREB1,12
LPIN1,1
TRIB2,3
FAM84A,0
DDX1,0
GEN1,1
KCNS3,0
RHOB,14
KLHL29,0
UBXN2A,0
FKBP1B,0
FAM228B,0
NCOA1,44
CENPO,0
RP11-443B20.1,0
RAB10,0
GAREML,0
HADHB,0
EPT1,2
C2orf70,0
KCNK3,0
SLC35F6,0
CENPA,3
DPYSL5,3
MAPRE3,1
TMEM214,0
AGBL5,0
KHK,0
ABHD1,0
ATRAID,0
CAD,200
AC074117.10,0
